name,displayName,url,profileCount,range,isEstimated
Sutter Health,,/research/US/Job=Application_Support_Analyst/Salary/041fd1dc/Sutter-Health,5,{'50': 90472.8},
McKesson Corp.,,/research/US/Job=Application_Support_Analyst/Salary/8144bdca/McKesson-Corp.,4,{'50': 74000},
Partners Healthcare Inc,,/research/US/Job=Application_Support_Analyst/Salary/8e211653/Partners-Healthcare-Inc,3,{'50': 71000},
Principal Financial Group,,/research/US/Job=Applications_Analyst%2C_Software/Salary/64416af7/Principal-Financial-Group,7,{'50': 66819.19},
Sutter Health,,/research/US/Job=Applications_Analyst%2C_Software/Hourly_Rate/31fd3bf4/Sutter-Health,7,{'50': 95000},
WellStar Health System,,/research/US/Job=Applications_Analyst%2C_Software/Salary/bde298b2/WellStar-Health-System,7,{'50': 72000},
Accenture,,/research/US/Job=Applications_Analyst%2C_Software/Salary/dbcf9cc1/Accenture,5,{'50': 57000},
Cone Health,,/research/US/Job=Applications_Analyst%2C_Software/Salary/46cc8307/Cone-Health,5,{'50': 73469.39},
Deaconess Hospital,,/research/US/Job=Applications_Analyst%2C_Software/Salary/9594aa36/Deaconess-Hospital,5,{'50': 48412},
Bank of America Corp. (BOFA),,/research/US/Job=Applications_Development_Manager/Salary/7109108f/Bank-of-America-Corp.-BOFA,6,{'50': 130725.19},
Black Knight Financial Services,,/research/US/Job=Applications_Development_Manager/Salary/b0654641/Black-Knight-Financial-Services,5,{'50': 137568.93},
Citibank,,/research/US/Job=Applications_Development_Manager/Salary/44bf6c6c/Citibank,5,{'50': 104000},
J.P. Morgan Chase & Co. (JPMCC),,/research/US/Job=Applications_Development_Manager/Salary/dc866403/J.P.-Morgan-Chase-%26-Co.-JPMCC,5,{'50': 115500},
Accenture,,/research/US/Job=Applications_Development_Manager/Salary/2f57be41/Accenture,5,{'50': 118783.73},
Polycom Inc.,,/research/US/Job=Applications_Development_Manager%2C_Computer_Software/Salary/e56afcca/Polycom-Inc.,5,{'50': 136483.52},
Maxim Integrated Products Inc,,/research/US/Job=Applications_Engineer/Salary/1b68e5ce/Maxim-Integrated-Products-Inc,31,{'50': 80677.88},
