level,experience,job_title,median_salary,profile_count
Junior Level,1-4 years,,18.38,2408
Mid Level,5-9 years,,20.97,687
Senior Level,10-19 years,,22.5,343
Executive Level,20 years or more,,23.52,122
Junior Level,1-4 years,,14.42,8
Entry Level,Less than 1 year,Human_Resources_Information_Systems_Specialist_(HRIS),49542.95,6
Junior Level,1-4 years,Human_Resources_Information_Systems_Specialist_(HRIS),61141.99,215
Mid Level,5-9 years,Human_Resources_Information_Systems_Specialist_(HRIS),69059.73,133
Senior Level,10-19 years,Human_Resources_Information_Systems_Specialist_(HRIS),73466.54,79
Executive Level,20 years or more,Human_Resources_Information_Systems_Specialist_(HRIS),90317.29,33
Junior Level,1-4 years,,69265.84,23
Mid Level,5-9 years,Identity_and_Access_Management_(IAM)_Administrator,74019.49,13
Senior Level,10-19 years,Identity_and_Access_Management_(IAM)_Administrator,86966.66,9
Entry Level,Less than 1 year,Identity_and_Access_Management_(IAM)_Analyst,61835.67,14
Junior Level,1-4 years,Identity_and_Access_Management_(IAM)_Analyst,68627.97,139
Mid Level,5-9 years,Identity_and_Access_Management_(IAM)_Analyst,76996.75,78
Senior Level,10-19 years,Identity_and_Access_Management_(IAM)_Analyst,92891.91,31
Executive Level,20 years or more,Identity_and_Access_Management_(IAM)_Analyst,96000.0,13
Junior Level,1-4 years,Identity_and_Access_Management_(IAM)_Engineer,98121.01,26
Mid Level,5-9 years,Identity_and_Access_Management_(IAM)_Engineer,95208.31,31
Senior Level,10-19 years,Identity_and_Access_Management_(IAM)_Engineer,137500.0,10
Executive Level,20 years or more,Identity_and_Access_Management_(IAM)_Engineer,145761.3,5
Entry Level,Less than 1 year,Implementation_Manager,66001.84,32
Junior Level,1-4 years,Implementation_Manager,74972.16,663
Mid Level,5-9 years,Implementation_Manager,86230.46,532
Senior Level,10-19 years,Implementation_Manager,94668.82,363
Executive Level,20 years or more,Implementation_Manager,99765.06,116
Junior Level,1-4 years,Implementation_Manager%2C_IT,81389.19,12
Mid Level,5-9 years,Implementation_Manager%2C_IT,99220.36,13
Senior Level,10-19 years,Implementation_Manager%2C_IT,123356.06,22
Executive Level,20 years or more,Implementation_Manager%2C_IT,111000.0,12
Junior Level,1-4 years,Informatica_Developer,77082.2,21
Mid Level,5-9 years,Informatica_Developer,93978.52,28
Senior Level,10-19 years,Informatica_Developer,100260.2,14
Executive Level,20 years or more,Informatica_Developer,113657.14,6
Entry Level,Less than 1 year,Informatics_Nurse,74391.02,31
Junior Level,1-4 years,Informatics_Nurse,81501.93,92
Mid Level,5-9 years,Informatics_Nurse,88300.69,76
Senior Level,10-19 years,Informatics_Nurse,79519.16,33
Executive Level,20 years or more,Informatics_Nurse,86294.15,23
Entry Level,Less than 1 year,Information_Architect,67389.92,7
Junior Level,1-4 years,Information_Architect,85665.56,29
Mid Level,5-9 years,Information_Architect,100229.12,37
Senior Level,10-19 years,Information_Architect,131515.95,30
Executive Level,20 years or more,Information_Architect,140105.13,27
Entry Level,Less than 1 year,Information_Assurance_Analyst,65562.14,6
Junior Level,1-4 years,Information_Assurance_Analyst,78866.22,85
Mid Level,5-9 years,Information_Assurance_Analyst,106927.44,40
Senior Level,10-19 years,Information_Assurance_Analyst,102906.44,15
Executive Level,20 years or more,Information_Assurance_Analyst,84100.85,16
Entry Level,Less than 1 year,Information_Assurance_Engineer,66219.89,11
Junior Level,1-4 years,Information_Assurance_Engineer,87769.95,49
Mid Level,5-9 years,Information_Assurance_Engineer,113874.03,26
Senior Level,10-19 years,Information_Assurance_Engineer,136114.14,16
Executive Level,20 years or more,Information_Assurance_Engineer,135397.47,11
Junior Level,1-4 years,Information_Assurance_Manager,77295.59,13
Mid Level,5-9 years,Information_Assurance_Manager,108259.72,19
Senior Level,10-19 years,Information_Assurance_Manager,122965.73,20
Executive Level,20 years or more,Information_Assurance_Manager,129343.13,20
Entry Level,Less than 1 year,Information_Assurance_Officer,60927.78,5
Junior Level,1-4 years,Information_Assurance_Officer,75000.0,8
Mid Level,5-9 years,Information_Assurance_Officer,105450.0,5
Senior Level,10-19 years,Information_Assurance_Officer,95000.0,8
Executive Level,20 years or more,Information_Assurance_Officer,82697.69,4
Junior Level,1-4 years,Information_Management_(IM)_Coordinator,42047.83,5
Senior Level,10-19 years,Information_Management_(IM)_Coordinator,125000.0,3
Executive Level,20 years or more,Information_Management_(IM)_Coordinator,154838.71,2
Junior Level,1-4 years,Information_Management_Specialist,61716.36,51
Mid Level,5-9 years,Information_Management_Specialist,61610.52,32
Senior Level,10-19 years,Information_Management_Specialist,94323.6,16
Executive Level,20 years or more,Information_Management_Specialist,78000.0,10
Entry Level,Less than 1 year,Information_Security_Associate,56873.13,12
Junior Level,1-4 years,Information_Security_Associate,61393.28,37
Mid Level,5-9 years,Information_Security_Associate,60000.0,7
Senior Level,10-19 years,Information_Security_Associate,109926.79,5
Entry Level,Less than 1 year,Information_Security_Engineer,68951.51,21
Junior Level,1-4 years,Information_Security_Engineer,86930.89,349
Mid Level,5-9 years,Information_Security_Engineer,100721.26,400
Senior Level,10-19 years,Information_Security_Engineer,117354.91,206
Executive Level,20 years or more,Information_Security_Engineer,130487.13,80
Entry Level,Less than 1 year,Information_Security_Specialist,66226.02,24
Junior Level,1-4 years,Information_Security_Specialist,75358.25,270
Mid Level,5-9 years,Information_Security_Specialist,89010.23,169
Senior Level,10-19 years,Information_Security_Specialist,106697.42,107
Executive Level,20 years or more,Information_Security_Specialist,119161.99,47
Junior Level,1-4 years,Information_Systems_Audit_Manager,103668.22,17
Mid Level,5-9 years,Information_Systems_Audit_Manager,113650.42,80
Senior Level,10-19 years,Information_Systems_Audit_Manager,129008.17,37
Executive Level,20 years or more,Information_Systems_Audit_Manager,124221.66,9
Entry Level,Less than 1 year,Information_Systems_Auditor,56831.45,6
Junior Level,1-4 years,Information_Systems_Auditor,62464.0,14
Mid Level,5-9 years,Information_Systems_Auditor,86358.38,10
Senior Level,10-19 years,Information_Systems_Auditor,100497.51,12
Executive Level,20 years or more,Information_Systems_Auditor,90000.0,7
Junior Level,1-4 years,Information_Systems_Coordinator%2C_Medical,54212.56,19
Mid Level,5-9 years,Information_Systems_Coordinator%2C_Medical,54792.49,19
Senior Level,10-19 years,Information_Systems_Coordinator%2C_Medical,51795.32,7
Executive Level,20 years or more,Information_Systems_Coordinator%2C_Medical,88823.0,8
Entry Level,Less than 1 year,Information_Systems_(IS)_Analyst,61038.85,60
Junior Level,1-4 years,Information_Systems_(IS)_Analyst,63821.91,313
Mid Level,5-9 years,Information_Systems_(IS)_Analyst,76813.69,182
