name,job_title,median_salary,profile_count
Epic Systems,Application_Support_Analyst,70637.68,39
UNIX,Application_Support_Analyst,75172.6,37
Business Analysis,Application_Support_Analyst,84880.86,36
Java,Application_Support_Analyst,56093.4,33
Data Analysis,Application_Support_Analyst,60000.0,23
Help Desk / Desktop Support (Tier 2),Application_Support_Analyst,60439.99,22
C# Programming Language,Application_Support_Analyst,50372.21,13
Linux,Application_Support_Analyst,45871.61,13
Information Technology Infrastructure Library (ITIL),Application_Support_Analyst,76841.48,12
Microsoft Excel,Application_Support_Analyst,70295.99,12
"Epic Information Systems (Radiant, Stork, etc.)",Application_Support_Analyst,83913.56,11
HTML,Application_Support_Analyst,55000.0,10
Microsoft Access,Application_Support_Analyst,67500.0,10
Python,Application_Support_Analyst,65059.94,9
Customer Relationship Management (CRM),,,9
Epic Health Information Management System,Application_Support_Analyst,64357.62,8
Salesforce,Application_Support_Analyst,60000.0,8
Microsoft Word,Application_Support_Analyst,69850.0,7
.NET,Application_Support_Analyst,52924.53,7
Product Support,Application_Support_Analyst,64000.0,7
Technical Analysis,Application_Support_Analyst,53512.63,7
Software Knowledge,Application_Support_Analyst,62751.86,7
Windows Server 2012 R2,Application_Support_Analyst,63500.0,7
Windows Operating System General Use,Application_Support_Analyst,49400.0,6
SQL Server Reporting Services (SSRS),Application_Support_Analyst,41657.52,6
System Administration,Application_Support_Analyst,65000.0,6
Shell Scripting,Application_Support_Analyst,82424.24,6
Microsoft Active Directory,Application_Support_Analyst,66000.0,6
JavaScript,Application_Support_Analyst,52511.65,6
JIRA,Application_Support_Analyst,49115.47,6
Microsoft Sharepoint Server,Application_Support_Analyst,75351.13,5
MySQL,Application_Support_Analyst,57000.0,5
Problem Solving,Application_Support_Analyst,50868.11,5
Application Development,,50178.94,5
Electronic Health Records (EHR),Application_Support_Analyst,85957.13,5
Clinical Information Systems,Application_Support_Analyst,56183.0,5
System Testing,Application_Support_Analyst,48494.85,5
Systems Troubleshooting,Application_Support_Analyst,70291.76,5
Transact-SQL,Application_Support_Analyst,53000.0,5
"Epic Information Systems (Radiant, Stork, etc.)",Applications_Analyst%2C_Software,79466.43,158
Applications,Applications_Analyst%2C_Software,76664.15,127
SQL,Applications_Analyst%2C_Software,74085.41,110
Microsoft Office,Applications_Analyst%2C_Software,73436.35,107
Project Management,Applications_Analyst%2C_Software,73826.6,84
Microsoft Word,Applications_Analyst%2C_Software,65154.77,60
Microsoft Excel,Applications_Analyst%2C_Software,63024.56,48
Epic Systems,Applications_Analyst%2C_Software,74063.62,30
Electronic Medical Records (EMR),Applications_Analyst%2C_Software,72424.68,27
Information Technology (IT) Support,Applications_Analyst%2C_Software,71839.82,26
Technical Analysis,Applications_Analyst%2C_Software,78242.41,26
Windows Operating System General Use,Applications_Analyst%2C_Software,61220.61,22
Microsoft Access,Applications_Analyst%2C_Software,65496.18,21
HTML,Applications_Analyst%2C_Software,66000.0,20
NextGen Health Care Software,Applications_Analyst%2C_Software,51482.5,19
Microsoft SQL Server,Applications_Analyst%2C_Software,68548.15,17
Requirements Analysis,Applications_Analyst%2C_Software,75000.0,14
Enterprise Resource Planning (ERP),Applications_Analyst%2C_Software,80000.0,12
Java,Applications_Analyst%2C_Software,73800.0,11
Python,Applications_Analyst%2C_Software,61500.0,9
Oracle,Applications_Analyst%2C_Software,67445.87,8
.NET,Applications_Analyst%2C_Software,96000.0,7
C# Programming Language,Applications_Analyst%2C_Software,65000.0,7
Clinical Information Systems,Applications_Analyst%2C_Software,87555.77,6
Epic Health Information Management System,Applications_Analyst%2C_Software,85000.0,6
Internet Information Server (IIS),Applications_Analyst%2C_Software,63076.62,6
Software Installation & Upgrade,Applications_Analyst%2C_Software,56000.0,6
Troubleshooting,Applications_Analyst%2C_Software,56000.0,5
UNIX,Applications_Analyst%2C_Software,64500.0,5
Visual Basic (VB),Applications_Analyst%2C_Software,37000.0,5
Microsoft Sharepoint Server,Applications_Analyst%2C_Software,78000.0,5
Data Analysis,Applications_Analyst%2C_Software,74703.54,5
Business Analysis,Applications_Analyst%2C_Software,86847.37,5
Software Development Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,145402.71,65
Team Leadership,Applications_Development_Director%2C_IT_%2F_Information_Systems,143529.05,39
Leadership,Applications_Development_Director%2C_IT_%2F_Information_Systems,141421.9,31
Project Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,141471.56,28
Software Architecture,Applications_Development_Director%2C_IT_%2F_Information_Systems,145594.04,27
Microsoft SQL Server,Applications_Development_Director%2C_IT_%2F_Information_Systems,123612.83,27
.NET,Applications_Development_Director%2C_IT_%2F_Information_Systems,142674.29,27
Strategic Project Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,153459.28,11
People Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,139461.81,8
Enterprise Application Integration,Applications_Development_Director%2C_IT_%2F_Information_Systems,132653.82,8
Agile Software Development,Applications_Development_Director%2C_IT_%2F_Information_Systems,162153.85,6
C# Programming Language,Applications_Development_Director%2C_IT_%2F_Information_Systems,116000.0,5
Program Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,117000.0,5
Scrum,Applications_Development_Director%2C_IT_%2F_Information_Systems,152000.0,5
Oracle eBusiness Suite,Applications_Development_Director%2C_IT_%2F_Information_Systems,137971.01,5
Enterprise Resource Planning (ERP),Applications_Development_Director%2C_IT_%2F_Information_Systems,140000.0,3
IT Management,Applications_Development_Director%2C_IT_%2F_Information_Systems,179009.65,3
Mobile applications development,Applications_Development_Director%2C_IT_%2F_Information_Systems,120000.0,3
Oracle 11g,Applications_Development_Director%2C_IT_%2F_Information_Systems,130268.2,2
Web Development,Applications_Development_Director%2C_IT_%2F_Information_Systems,120000.0,2
People Management,Applications_Development_Manager,128535.14,180
Agile Software Development,Applications_Development_Manager,128064.67,152
Leadership,Applications_Development_Manager,127418.89,133
Project Management,Applications_Development_Manager,124584.04,127
SQL,Applications_Development_Manager,119570.53,71
Software Development Management,Applications_Development_Manager,132335.16,65
C# Programming Language,Applications_Development_Manager,111939.13,44
Java,Applications_Development_Manager,101123.26,24
JavaScript,Applications_Development_Manager,106878.14,24
Internet Information Server (IIS),Applications_Development_Manager,115350.2,23
HTML,Applications_Development_Manager,120119.91,17
Web Development,Applications_Development_Manager,110958.92,16
Visual Basic (VB),Applications_Development_Manager,97120.86,14
Microsoft SQL Server,Applications_Development_Manager,119592.36,14
Software Architecture,Applications_Development_Manager,119547.27,13
Oracle,Applications_Development_Manager,126957.85,12
Strategic Project Management,Applications_Development_Manager,114650.24,11
Microsoft Active Server Pages (ASP),Applications_Development_Manager,109926.79,11
Customer Relationship Management (CRM),Applications_Development_Manager,100000.0,10
Performance Management,Applications_Development_Manager,114650.24,10
Microsoft Azure,Applications_Development_Manager,122773.81,7
Amazon Web Services (AWS),Applications_Development_Manager,127742.57,6
.NET,Applications_Development_Manager,117916.22,6
Business Analysis,Applications_Development_Manager,114000.0,6
Microsoft Office,Applications_Development_Manager,123000.0,5
Operations Management,Applications_Development_Manager,126108.37,5
Salesforce,Applications_Development_Manager,140000.0,5
PHP,Applications_Development_Manager,116750.0,4
ASP.NET Framework,Applications_Development_Manager,93180.46,4
Team Management,Applications_Development_Manager,119690.11,3
Project Management,Applications_Development_Manager%2C_Computer_Software,110710.6,95
C# Programming Language,Applications_Development_Manager%2C_Computer_Software,122505.61,69
Java,Applications_Development_Manager%2C_Computer_Software,119579.98,55
Microsoft SQL Server,Applications_Development_Manager%2C_Computer_Software,120280.34,48
ASP.NET Framework,Applications_Development_Manager%2C_Computer_Software,111509.02,42
HTML,Applications_Development_Manager%2C_Computer_Software,111401.49,40
JavaScript,Applications_Development_Manager%2C_Computer_Software,114016.3,39
Agile Software Development,Applications_Development_Manager%2C_Computer_Software,122448.98,32
People Management,Applications_Development_Manager%2C_Computer_Software,123806.05,29
Oracle,Applications_Development_Manager%2C_Computer_Software,117557.05,29
Microsoft Word,Applications_Development_Manager%2C_Computer_Software,112108.64,28
SQL,Applications_Development_Manager%2C_Computer_Software,127958.04,27
.NET,Applications_Development_Manager%2C_Computer_Software,121961.5,19
